Name,Hex (24 bit),Red (8 bit),Green (8 bit),Blue (8 bit),Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)",Color Group
Electric Indigo,#6f00ff,111,0,255,266.1,100.0,50.0,Ungu Sedang
Electric Lavender,#f4bbff,244,187,255,290.3,100.0,86.7,Ungu Terang
Electric Lime,#cf0,204,255,0,72.0,100.0,50.0,Kuning Muda
Electric Purple,#bf00ff,191,0,255,284.9,100.0,50.0,Ungu Sedang
Electric Ultramarine,#3f00ff,63,0,255,254.8,100.0,50.0,Biru Sedang
Electric Violet,#8f00ff,143,0,255,273.6,100.0,50.0,Ungu Sedang
Electric Yellow,#ff0,255,255,0,60.0,100.0,50.0,Oranye Muda
Emerald,#50c878,80,200,120,140.0,52.2,54.9,Cyan Sedang
English Lavender,#b48395,180,131,149,338.0,24.6,61.0,Magenta Muda
Eton Blue,#96c8a2,150,200,162,134.4,31.2,68.6,Cyan Muda
Fallow,#c19a6b,193,154,107,32.8,41.0,58.8,Oranye Muda
Falu Red,#801818,128,24,24,0.0,68.4,29.8,Merah Gelap
Fandango,#b53389,181,51,137,320.3,56.0,45.5,Magenta Sedang
Fashion Fuchsia,#f400a1,244,0,161,320.4,100.0,47.8,Magenta Sedang
Fawn,#e5aa70,229,170,112,29.7,69.2,66.9,Oranye Muda
Feldgrau,#4d5d53,77,93,83,142.5,9.4,33.3,Abu-Abu
Fern Green,#4f7942,79,121,66,105.8,29.4,36.7,Kuning Sedang
Ferrari Red,#ff2800,255,40,0,9.4,100.0,50.0,Merah Sedang
Field Drab,#6c541e,108,84,30,41.5,56.5,27.1,Oranye Gelap
Fire Engine Red,#ce2029,206,32,41,356.9,73.1,46.7,Merah Sedang
Firebrick,#b22222,178,34,34,0.0,67.9,41.6,Merah Sedang
Flame,#e25822,226,88,34,16.9,76.8,51.0,Merah Sedang
Flamingo Pink,#fc8eac,252,142,172,343.6,94.8,77.3,Magenta Muda
Flavescent,#f7e98e,247,233,142,52.0,86.8,76.3,Oranye Terang
Flax,#eedc82,238,220,130,50.0,76.1,72.2,Oranye Muda
Floral White,#fffaf0,255,250,240,40.0,100.0,97.1,Putih
Fluorescent Orange,#ffbf00,255,191,0,44.9,100.0,50.0,Oranye Sedang
Fluorescent Pink,#ff1493,255,20,147,327.6,100.0,53.9,Magenta Sedang
Fluorescent Yellow,#cf0,204,255,0,72.0,100.0,50.0,Kuning Muda
Folly,#ff004f,255,0,79,341.4,100.0,50.0,Merah Sedang
Forest Green (Traditional),#014421,1,68,33,148.7,97.1,13.5,Hitam
Forest Green (Web),#228b22,34,139,34,120.0,60.7,33.9,Hijau Gelap
French Beige,#a67b5b,166,123,91,25.6,29.6,50.4,Oranye Sedang
French Blue,#0072bb,0,114,187,203.4,100.0,36.7,Cyan Sedang
French Lilac,#86608e,134,96,142,289.6,19.3,46.7,Ungu Sedang
French Lime,#cf0,204,255,0,72.0,100.0,50.0,Kuning Muda
French Raspberry,#c72c48,199,44,72,349.2,63.8,47.6,Merah Sedang
French Rose,#f64a8a,246,74,138,337.7,90.5,62.7,Magenta Muda
Fuchsia,#f0f,255,0,255,300.0,100.0,50.0,Magenta Muda
Fuchsia (Crayola),#c154c1,193,84,193,300.0,46.8,54.3,Magenta Muda
Fuchsia Pink,#f7f,255,119,255,300.0,100.0,73.3,Magenta Terang
Fuchsia Rose,#c74375,199,67,117,337.3,54.1,52.2,Magenta Sedang
Fulvous,#e48400,228,132,0,34.7,100.0,44.7,Merah Sedang
Fuzzy Wuzzy,#c66,204,102,102,0.0,50.0,60.0,Merah Sedang
